"%1 is enabled for checkout. This may lead to duplicated rates in checkout.","%1 ist für den Checkout aktiviert. Dies kann zur mehrfachen Anzeige derselben Versandkosten führen."
"%1 provides rates for DHL Parcel Germany.","%1 stellt Versandkosten für DHL Paket bereit."
"%1DHL Parcel Germany%2 is an ideal complement to the AUTOCOMPLETE and ADDRESSFACTORY services of Deutsche Post Direkt.","%1DHL Paket%2 ist eine ideale Ergänzung zu den Services AUTOCOMPLETE und ADDRESSFACTORY der Deutschen Post Direkt."
"--Please Select--","--Bitte wählen--"
"If enabled, DHL and sender handle import duties. When using this service, it is mandatory to provide customs tariff numbers per line item.","Wenn diese Option aktiviert ist, dann bezahlt der Versender alle Einfuhrabgaben für den Empfänger. Beachten Sie, dass in diesem Fall die Zolltarifnummer für alle Versandpositionen übermittelt werden muss."
"If enabled, DHL will be notified that an electronic export declaration was completed by the merchant and that an Export Accompanying Document (EAD) is attached to the parcel. See also <a href=""https://www.dhl.de/de/geschaeftskunden/paket/leistungen-und-produkte/internationaler-versand/paket-international/zollinformationen.html"" target=""_blank"">Customs Information</a>.","Wenn diese Option aktiviert ist, wird DHL mitgeteilt, dass eine elektronische Ausfuhranmeldung beim Zoll durchgeführt worden ist und dem Paket ein Ausfuhrbegleitdokument (ABD) beiliegt. Siehe auch <a href=""https://www.dhl.de/de/geschaeftskunden/paket/leistungen-und-produkte/internationaler-versand/paket-international/zollinformationen.html"" target=""_blank"">Zollinformationen</a>."
"If enabled, DHL will hand over the parcel only to the recipient or to an authorized person.","Wenn diese Option aktiviert ist, dann übergibt DHL das Paket nur an den Empfänger oder eine bevollmächtigte Person."
"If enabled, DHL will not attempt to make delivery to a neighbor. If the customer is not available, then the parcel will be delivered to a retail outlet or locker instead.","Wenn diese Option aktiviert ist, dann wird die Sendung, falls Ihr Kunde zum Zeitpunkt der Zustellung nicht zu Hause ist, in einer Postfiliale oder Packstation zur Abholung bereitgehalten und nicht an einen Nachbarn zugestellt."
"If enabled, a return shipment label will be requested from the webservice. A return address other than the <em>Shipping Origin</em> can be configured below.","Wenn diese Option aktiviert ist, wird ein Rücksendeetikett vom Webservice angefordert. Ein vom Versandursprung abweichender Retourenempfänger kann nachfolgend konfiguriert werden."
"If enabled, shipment orders will only return a label if the DHL delivery address verification succeeds.","Wenn diese Option aktiviert ist, werden Paketaufkleber nur erstellt, wenn die DHL-Überprüfung der Empfängeradresse im Versandauftrag erfolgreich war."
"If enabled, shipments will be insured with higher than standard amount.","Wenn diese Option aktiviert ist, werden Sendungen mit einem höheren als dem Standardbetrag versichert."
"If enabled, shipments will be marked as bulk freight.","Wenn diese Option aktiviert ist, werden Sendungen als Sperrgut markiert."
"If enabled, the consignee's phone number will be forwarded to DHL on international shipments.","Wenn diese Option aktiviert ist, dann wird die Telefonnummer des Empfängers bei internationalen Sendungen an DHL weitergeleitet."
"If enabled, the recipient must sign for the parcel on delivery.","Wenn diese Option aktiviert ist, dann muss der Empfänger den Erhalt der Sendung mittels Unterschrift bestätigen."
"If enabled, the visual age check service will be booked during shipment orders.","Wenn diese Option aktiviert ist, wird der Service Alterssichtprüfung bei Versandaufträgen gebucht."
"If enabled, your undeliverable packages will be held at the nearest parcel collection point for collection by the recipient rather than being returned immediately to you.","Wenn diese Option aktiviert ist, werden unzustellbare Sendungen nicht direkt an Sie zurückgeschickt, sondern zunächst in der nächstgelegenen Filiale zur Abholung hinterlegt."
"If you do not have an account or your account is with another DHL division, %1please contact DHL Parcel Germany%2 to establish or expand your relationship.","Wenn Sie kein Konto haben oder Ihr Konto mit einer anderen DHL-Abteilung abgeschlossen wurde, dann wenden Sie sich bitte an %1DHL Paket%2, um Ihren Vertrag zu erweitern."
"In addition to your account number you need your 2-digit Procedure and Participation number","Zusätzlich zur Ihrer Kundennummer benötigen Sie noch die Verfahren- und Teilnahmenummer (jeweils 2-stellig)"
"In case user groups are defined in your DHL Business Customer Portal account, you can set the desired group name here.","Falls Sie im Geschäftskundenportal Nutzergruppen verwalten, können Sie hier den Namen der zu verwendenden Nutzergruppe hinterlegen."
"Info (All API Activities)","Info (alle API-Aktivitäten)"
"International (excl. EU)","Grenzüberschreitender Versand (ohne EU)"
"Invalid request: %1","Ungültige Anfrage: %1"
"Label API connection established successfully.","Verbindung zur Label-API wurde erfolgreich hergestellt."
"Label could not be created: %1","Paketaufkleber konnte nicht erzeugt werden: %1"
"Label for order %1, package %2 could not be created.","Paketaufkleber für Bestellung %1, Paket %2 konnte nicht erzeugt werden."
"Location Finder Map","Karte für Abholort-Suche"
"Log Level",Protokollierungsstufe
Logging,Protokollierung
"MapBox API token is available.","MapBox API-Token ist hinterlegt."
"MapBox API token is not configured.","MapBox API-Token ist nicht hinterlegt."
"Method Name","Name der Versandart"
"Minimum age +16 years","Mindestalter 16 Jahre"
"Minimum age +18 years","Mindestalter 18 Jahre"
Mon,Mo
"Multi package shipments are not supported.","Mehrpaketsendungen werden nicht unterstützt."
"Named Person Only","Persönliche Übergabe"
"Neighbor address","Adresse des Nachbarn"
"Neighbor name","Name des Nachbarn"
No,Nein
"No Neighbor Additional Charge","Aufpreis Keine Nachbarschaftszustellung"
"No Neighbor Delivery: Discreet Dispatch","Keine Nachbarschaftszustellung: Diskreter Versand"
"No locations found for the given address. Please try another address.","Für die angegebene Adresse wurden keine Standorte gefunden. Bitte versuchen Sie eine andere Adresse."
"No offline shipping method is configured to provide rates in checkout. Please review your %1 settings.","Es wurde keine Versandart für die Ermittlung von Versandkosten konfiguriert. Bitte prüfen Sie Ihre %1 Einstellungen."
"Non-delivery Instruction","Vorausverfügung bei Unzustellbarkeit"
"Non-delivery notice will be sent to this email address. If left empty, the customer's email address is used. In this case, you must make sure to obtain data privacy consent from your customers.","Eine Benachrichtigung über die Unzustellbarkeit wird an diese E-Mail-Adresse gesendet. Wenn leer, wird die E-Mail-Adresse des Kunden verwendet. Bitte beachten Sie, dass Sie in diesem Fall Ihre Kunden über die Datenschutzbestimmungen informieren müssen."
Number,Nummer
"Offer Closest Drop Point (CDP) Service","Droppoint-Zustellung (CDP) anbieten"
"Offer DHL Parcel Announcement","Paketankündigung anbieten"
"Offer Delivery Day Service","Liefertagservice anbieten"
"Offer Drop-off Location Delivery","Zustellung an Ablageort anbieten"
"Offer Neighbor Delivery","Zustellung an Wunschnachbar anbieten"
"Offer No Neighbor Delivery Service","Keine Nachbarschaftszustellung anbieten"
"Offer Parcel Station Delivery","Lieferung an Packstation anbieten"
"On routes that require the <em>Premium</em> service, it will be booked implicitly regardless of this setting. The <em>Closest Drop Point</em> delivery type, if selected in checkout, always takes precedence.","Auf Routen, die den <em>Premium</em>-Service erfordern, wird dieser unabhängig von der Einstellung implizit gebucht. Wurde der Droppoint-Service im Checkout gewählt, hat dieser Vorrang."
"Order Cut-off Times",Bestellabschlusszeiten
"Parcel Announcement",Paketankündigung
"Parcel Management API connection established successfully.","Verbindung zur Paketsteuerung-API wurde erfolgreich hergestellt."
"Parcel Management Web Service","Paketsteuerung Webservice"
"Parcel Routing",Paket-Routing
"Parcel Shop %1","Paketshop %1"
"Parcel Station %1","Packstation %1"
"Parcel Station Delivery","An eine Packstation liefern"
"Parking available","Parkplätze vorhanden"
"Partial shipments with Cash on Delivery or Insurance service are not supported. Please ship the entire order in one package or deselect the service.","Teillieferungen mit Nachnahmezahlung oder Transportversicherung werden nicht unterstützt. Bitte erstellen Sie eine Sendung für die gesamte Bestellung oder wählen Sie den Service ab."
Participation,Teilnahme
"Participation Numbers",Teilnahmenummern
"Participation numbers are not configured. Please review your %1.","Teilnahmenummern sind nicht hinterlegt. Bitte prüfen Sie Ihre %1."
"Password (Signature)","Passwort (Signature)"
"Permit Number",Genehmigungs-Nummer
"Place of Committal",Einlieferungsstelle
"Please choose only one of %1.","Bitte wählen Sie nur eins von %1."
"Please choose your preferred delivery options.","Wählen Sie Ihre bevorzugten Lieferoptionen aus."
"Post & DHL Shipping","Versenden mit Post & DHL"
"Post & DHL and Magento","Versenden mit Post & DHL"
"Post Bank %1","Postbank Filiale %1"
"Post Office %1","Postfiliale %1"
"Postal Charges / Fees","Versandkosten / Gebühren"
"Postal Code",Postleitzahl
"Preferred Neighbor Delivery",Nachbarschaftszustellung
"Preferred Neighbor: Delivery to a neighbor of your choice","Nachbarschaftszustellung: Lieferung an den Nachbarn Ihrer Wahl"
"Print Only If Codeable","Nur leitkodierbare Versandaufträge erteilen"
"Printer Setup",Druckeinstellungen
Procedure,Verfahren
Product,Produkt
"Rates in Checkout","Versandkosten im Checkout"
"Recipient Signature","Empfängerunterschrift"
"Recipient must sign for the parcel on delivery","Bestätigung des Erhalts der Sendung durch Empfänger"
"Record communication with the DHL web services.","Kommunikation mit den DHL-Webservices aufzeichnen."
"Reference an entry from your DHL Business Customer Portal address book. If left blank, the origin address configured in <em>Shipping Settings</em> will be used. Using an entry from the DHL sender address book allows to print your logo on the label. This setting is ignored in sandbox mode.","Verweisen Sie auf einen Eintrag im Absenderadressbuch des DHL-Geschäftskundenportals. Wenn Sie dieses Feld leer lassen, dann wird die Absenderadresse verwendet, die in den Versandeinstellungen als Versandursprung konfiguriert ist. Einen Eintrag aus dem DHL-Adressbuch zu wählen ermöglicht es, ein Logo auf das Versandetikett zu drucken. Im Sandbox-Modus wird diese Einstellung nicht verwendet."
"Retoure DHL Paket: V07PAK","Retoure DHL Paket: V07PAK"
"Return Label Format","Format Retouren-Versandschein"
"Return Shipment",Beilegeretoure
"Return Shipment Address",Rücksendeadresse
"Return immediately","Sofortige Rücksendung an den Absender"
Route,Route
Sat,Sa
"Select ""Merchandise Shipment"" only if you ship all or most of your orders as Merchandise Shipments. Otherwise, choose ""DHL Paket"".","Wählen Sie ""DHL Warenpost"" nur, wenn Sie alle oder die meisten Ihrer Bestellungen als Warenpost versenden. Ansonsten wählen Sie ""DHL Paket""."
"Select Delivery Service Type","Zustellvariante auswählen"
"Select Procedure","Verfahren auswählen"
"Select Product","Produkt wählen"
"Select Route","Route wählen"
"Select how to treat international parcels that cannot be delivered. They can either be abandoned (free of charge) or returned to the sender.","Legen Sie fest, wie bei internationalen Sendungen im Falle der Unzustellbarkeit verfahren werden soll. Das Paket kann entweder (entgeltfrei) vernichtet oder umgehend an den Absender zurückgesendet werden."
"Select the offline shipping method that gets used to provide rates in checkout.","Wählen Sie die Offline-Versandmethode aus, die für die Bereitstellung von Tarifen im Checkout verwendet werden soll."
"Select the size of the PDF print medium. If no selection is made, then the DHL Business Customer Portal setting will be used.","Wählen Sie das Druckformat der PDF-Labels. Wird hier keine Einstellung vorgenommen, dann wird das im Geschäftskundenportal konfigurierte Format verwendet."
"Selected products will be pre-selected for automatic shipping label creation. You can still select another product when creating shipping labels manually.","Ausgewählte Produkte werden für die automatische Erstellung von Versandetiketten vorausgewählt. Sie können weiterhin ein anderes Produkt auswählen, wenn Sie Versandetiketten manuell erstellen."
"Send Receiver Phone Number","Telefonnummer des Empfängers übermitteln"
"Sender Address Book Reference","Absenderreferenz im DHL-Adressbuch"
"Sender's Customs Reference","Zollreferenz des Absenders"
"Shipment %1 could not be cancelled.","Der Versandauftrag %1 konnte nicht storniert werden."
"Shipment %1 could not be cancelled: %2","Der Versandauftrag %1 konnte nicht storniert werden: %2"
"Shipment Defaults","Voreinstellungen für Lieferungen"
"Shipment Label Format","Format Versandschein"
"Shipping Origin",Versandursprung
"Shipping Products",Versandprodukte
"Shipping Services in Checkout","Zusätzliche Versandservices im Checkout"
"Some values for neighbor delivery are missing.","Es fehlen erforderliche Angaben für die Nachbarschaftszustellung."
"Sort Order",Sortierreihenfolge
"Specification for customs form.","Angabe für Zollformular."
"Store Information",Store-Informationen
"Street Name",Straße
"Street Number",Hausnummer
"Street, number, postal code, city","Straße, Hausnummer, PLZ, Ort"
Sun,So
"Terms of Trade",Handelsklauseln
"The EKP number (standardized customer and product number) is the key to using the products of Deutsche Post DHL. It is 10 digits and is allocated by DHL Sales.","Die EKP (Kundennummer) ist Ihr Schlüssel zu den Produkten von DHL. Sie umfasst 10 Zeichen und wird Ihnen von DHL zugewiesen"
"The application runs in production mode. Labels can be used for shipping.","Produktions-Modus ist aktiviert. Erzeugte Labels können für den Versand verwendet werden."
"The application runs in sandbox mode. Labels cannot be used for shipping.","Sandbox-Modus ist aktiviert. Erzeugte Labels können nicht für den Versand verwendet werden."
"The customer integration gateway of DHL provides generic test endpoints for the calling APIs. Select this option to use the test environment.","Die DHL-Schnittstelle bietet generische Testendpunkte für die aufrufenden APIs. Wählen Sie diese Option aus, um die Testumgebung zu verwenden."
"The given additional charge will be applied to the shipping costs at checkout. Set to ""0"" to offer service for free.","Der angegebene Aufpreis wird im Checkout den Versandkosten zugerechnet. Geben Sie ""0"" an, um den Service kostenlos anzubieten."
"The given charge will be applied to the shipping costs at checkout. A negative amount reduces the shipping cost. Set to ""0"" to offer the service for free.","Der angegebene Betrag wird im Checkout auf die Versandkosten angerechnet. Ein negativer Betrag verringert die Versandkosten. Geben Sie ""0"" an, um den Service kostenlos anzubieten."
"The log level <em>Info</em> should only be set while resolving problems. It may result in very large log files.","Die Protokollierungsstufe <em>Info</em> sollte nur beim Lösen von Problemen eingestellt werden, da dies zu sehr großen Protokolldateien führen kann."
"The participation number enables invoices to be subdivided according to location, seasonal business or different conditions. The participation number consists of 2 alphanumeric characters. It is allocated by DHL Sales.","Die Teilnahmenummer erlaubt es, Rechnungen nach Standort, Saisongeschäft oder anderen Umständen zu gruppieren. Eine Teilnamenummer besteht as zwei alphanumerischen Zeichen und wird Ihnen von DHL zugewiesen"
"The post number is your personal identification code that you receive with your registration at DHL.","Die Postnummer ist Ihre persönliche Kundennummer bei DHL."
"The rates will get used even if the selected shipping method is disabled. The available method names will also be those of the selected shipping method.","Die Tarife werden auch verwendet, wenn die ausgewählte Versandmethode deaktiviert ist. Die verfügbaren Methodennamen sind auch die der ausgewählten Versandmethode."
"The shipping origin address is incomplete. Please review your <em>Shipping Settings</em> configuration.","Die Absenderadresse ist unvollständig. Bitte überprüfen Sie die <em>Versandeinstellungen</em>."
"The shipping origin address is valid for shipping with DHL Parcel Germany.","Die Absenderadresse ist für den Versand mit DHL Paket gültig."
"The shipping origin country must be Germany. Please review your <em>Shipping Settings</em> configuration.","Die Absenderadresse muss in Deutschland liegen. Bitte überprüfen Sie die <em>Versandeinstellungen</em>."
"The store information is complete.","Die Store-Informationen sind vollständig."
"The store information is incomplete. Please add name and phone number in the <em>General</em> settings.","Die Store-Informationen sind unvollständig. Bitte ergänzen Sie Name und Telefonnummer in den allgemeinen Einstellungen."
"There was a problem finding locations. Please check if the address is valid.","Es gab ein Problem bei der Standortsuche. Bitte prüfen Sie, ob die Adresse korrekt ist."
"These are the default settings for manual and automatic shipping label creation. If a label cannot be created with your configured defaults, change the respective setting when processing the order manually. Use the DHL Label Status Column in the Order list to identify those orders.","Folgende Einstellungen werden für die manuelle und automatische Sendungserstellung genutzt. Falls ein Label mit Ihren Einstellungen nicht erstellt werden kann, ändern Sie die betreffende Einstellung bei der manuellen Verarbeitung der Bestellung. Benutzen Sie die ""DHL Label Status""-Spalte in der Bestellübersicht, um solche Bestellungen zu identifizieren."
"This field determines where <em>DHL Paket</em> will be displayed on the Checkout page. To display after <em>Flat Rate</em> or <em>Free Shipping</em>, enter a number just higher than the sort order value configured for those shipping methods.","Dieses Feld legt fest, wo <em>DHL Paket</em> auf der Checkout-Seite angezeigt wird. Um es z.B. nach <em>Flat Rate</em> oder <em>Gratisversand</em> anzuzeigen, geben Sie eine Zahl ein, die größer ist als die Sortierreihenfolge, die für diese Versandarten konfiguriert ist."
"This service will incur additional shipping costs of $1 including VAT.","Für diesen Service fallen zusätzliche Versandkosten in Höhe von $1 inkl. MwSt. an."
Thu,Do
Title,Versanddienstleister
"To get started:","Was Sie brauchen:"
Tue,Di
"Use Additional Insurance Service","Erweiterte Transportversicherung aktivieren"
"Use Bulky Goods Service","Sperrgutservice aktivieren"
"Use Named Person Only Service","Persönliche Übergabe aktivieren"
"Use No Neighbour Delivery Service","Keine Nachbarschaftszustellung aktivieren"
"Use Postal Delivery Duty Paid Service","Service Postal Delivery Duty Paid aktivieren"
"Use Retail Outlet Routing Service","Filial-Routing aktivieren"
"Use Return Shipment Service","Beilegeretoure aktivieren"
"Use Signed For By Recipient Service","Empfängerunterschrift aktivieren"
"Use Visual Check of Age Service","Alterssichtprüfung aktivieren"
"Use rates from","Verwende Tarife von"
User,Benutzername
"User Group",Nutzergruppe
"Visual Check of Age",Alterssichtprüfung
"Warenpost does not support Cash on Delivery or Delivery Day service. Please change the shipping product or deselect the service(s).","Warenpost unterstützt keine Nachnahme oder Lieferung am Tag. Bitte ändern Sie das Versandprodukt oder deaktivieren Sie die Dienstleistung (en)."
